sidChar,sidNum,devStage,gType
Sample_20,20,E16,wt
Sample_21,21,E16,wt
Sample_22,22,E16,wt
Sample_23,23,E16,wt
Sample_16,16,E16,NrlKO
Sample_17,17,E16,NrlKO
Sample_6,6,E16,NrlKO
Sample_24,24,P2,wt
Sample_25,25,P2,wt
Sample_26,26,P2,wt
Sample_27,27,P2,wt
Sample_14,14,P2,NrlKO
Sample_3,3,P2,NrlKO
Sample_5,5,P2,NrlKO
Sample_8,8,P2,NrlKO
Sample_28,28,P6,wt
Sample_29,29,P6,wt
Sample_30,30,P6,wt
Sample_31,31,P6,wt
Sample_1,1,P6,NrlKO
Sample_10,10,P6,NrlKO
Sample_4,4,P6,NrlKO
Sample_7,7,P6,NrlKO
Sample_32,32,P10,wt
Sample_33,33,P10,wt
Sample_34,34,P10,wt
Sample_35,35,P10,wt
Sample_13,13,P10,NrlKO
Sample_15,15,P10,NrlKO
Sample_18,18,P10,NrlKO
Sample_19,19,P10,NrlKO
Sample_36,36,4_weeks,wt
Sample_37,37,4_weeks,wt
Sample_38,38,4_weeks,wt
Sample_39,39,4_weeks,wt
Sample_11,11,4_weeks,NrlKO
Sample_12,12,4_weeks,NrlKO
Sample_2,2,4_weeks,NrlKO
Sample_9,9,4_weeks,NrlKO
