DATE,LRY, LRV ,INT,LRC,LVS,LGS
1997Q3, 11.49 , 6.74 , 10.73 , 13.35 , 4.95 , 4.90 
1997Q4, 11.51 , 12.97 , 11.09 , 13.33 , 4.63 , 4.43 
1998Q1, 11.44 , 13.41 , 12.45 , 13.30 , 4.36 , 3.99 
1998Q2, 11.42 , 4.26 , 13.51 , 13.31 , 4.55 , 4.20 
1998Q3, 11.39 , 33.71 , 12.55 , 13.28 , 4.05 , 3.83 
1998Q4, 11.39 , 3.54 , 10.00 , 13.31 , 3.90 , 3.36 
1999Q1, 11.43 , 2.64 , 9.59 , 13.31 , 4.49 , 3.83 
1999Q2, 11.47 , 3.53 , 8.73 , 13.29 , 4.40 , 3.70 
1999Q3, 11.47 , 3.93 , 8.10 , 13.28 , 4.91 , 4.15 
1999Q4, 11.50 , 1.34 , 7.82 , 13.26 , 4.63 , 3.93 
2000Q1, 11.54 , 2.04 , 7.77 , 13.23 , 4.78 , 4.19 
2000Q2, 11.55 , 2.25 , 7.73 , 13.23 , 4.95 , 4.30 
2000Q3, 11.56 , 1.49 , 7.63 , 13.22 , 4.75 , 4.06 
2000Q4, 11.57 , 1.34 , 7.54 , 13.23 , 4.58 , 3.89 
2001Q1, 11.55 , 0.67 , 7.36 , 13.26 , 4.55 , 3.90 
2001Q2, 11.55 , 2.52 , 7.25 , 13.28 , 4.52 , 3.89 
2001Q3, 11.55 , 2.22 , 7.10 , 13.30 , 4.52 , 3.67 
2001Q4, 11.57 , 0.67 , 6.80 , 13.32 , 4.60 , 3.74 
2002Q1, 11.58 , 0.61 , 6.64 , 13.32 , 4.69 , 3.82 
2002Q2, 11.60 , 0.63 , 6.61 , 13.30 , 4.84 , 3.87 
2002Q3, 11.62 , 0.73 , 6.63 , 13.30 , 4.83 , 3.83 
2002Q4, 11.64 , 0.54 , 6.55 , 13.31 , 4.68 , 3.71 
2003Q1, 11.64 , 0.58 , 6.53 , 13.31 , 4.65 , 3.66 
2003Q2, 11.66 , 0.41 , 6.34 , 13.34 , 4.63 , 3.70 
2003Q3, 11.67 , 0.41 , 6.19 , 13.36 , 4.75 , 3.81 
2003Q4, 11.70 , 0.62 , 6.13 , 13.35 , 4.80 , 3.81 
2004Q1, 11.72 , 0.66 , 6.12 , 13.33 , 4.83 , 3.87 
2004Q2, 11.73 , 0.71 , 6.05 , 13.34 , 4.93 , 3.99 
2004Q3, 11.73 , 0.31 , 6.03 , 13.33 , 4.81 , 3.89 
2004Q4, 11.75 , 0.32 , 5.99 , 13.33 , 4.83 , 3.90 
2005Q1, 11.81 , 0.24 , 5.94 , 13.35 , 4.89 , 3.96 
2005Q2, 11.81 , 0.32 , 5.94 , 13.34 , 4.85 , 3.88 
2005Q3, 11.82 , 0.23 , 5.90 , 13.33 , 4.83 , 3.86 
2005Q4, 11.84 , 0.11 , 6.02 , 13.35 , 4.87 , 3.89 
2006Q1, 11.87 , 0.16 , 6.24 , 13.36 , 4.84 , 3.85 
2006Q2, 11.86 , 0.28 , 6.51 , 13.36 , 4.87 , 3.90 
2006Q3, 11.87 , 0.18 , 6.65 , 13.36 , 4.83 , 3.88 
2006Q4, 11.89 , 0.45 , 6.58 , 13.39 , 4.90 , 3.94 
2007Q1, 11.92 , 1.58 , 6.55 , 13.40 , 5.02 , 4.09 
2007Q2, 11.92 , 0.47 , 6.46 , 13.39 , 5.13 , 4.20 
2007Q3, 11.94 , 1.54 , 6.33 , 13.41 , 5.20 , 4.26 
2007Q4, 11.96 , 0.59 , 6.29 , 13.36 , 5.16 , 4.20 
2008Q1, 11.99 , 3.35 , 6.25 , 13.37 , 5.19 , 4.23 
2008Q2, 11.99 , 0.61 , 6.13 , 13.36 , 5.03 , 4.02 
2008Q3, 11.99 , 1.15 , 5.99 , 13.38 , 4.91 , 3.90 
2008Q4, 11.96 , 2.14 , 5.95 , 13.46 , 4.88 , 3.79 
2009Q1, 11.93 , 0.88 , 5.47 , 13.51 , 4.85 , 3.66 
2009Q2, 11.95 , 1.03 , 5.06 , 13.53 , 4.90 , 3.70 
2009Q3, 11.98 , 0.43 , 4.92 , 13.54 , 5.05 , 3.87 
2009Q4, 12.00 , 0.19 , 4.88 , 13.53 , 5.13 , 3.92 
2010Q1, 12.02 , 0.32 , 4.89 , 13.54 , 5.17 , 3.96 
2010Q2, 12.04 , 0.40 , 5.00 , 13.57 , 5.22 , 4.02 
2010Q3, 12.04 , 0.23 , 5.20 , 13.58 , 5.17 , 3.98 
2010Q4, 12.05 , 0.20 , 4.92 , 13.59 , 5.25 , 4.10 
2011Q1, 12.07 , 0.38 , 4.95 , 13.58 , 5.27 , 4.13 
2011Q2, 12.08 , 0.18 , 4.95 , 13.62 , 5.28 , 4.14 
2011Q3, 12.10 , 0.77 , 4.89 , 13.64 , 5.31 , 4.16 
2011Q4, 12.10 , 0.65 , 4.87 , 13.67 , 5.17 , 3.97 
2012Q1, 12.12 , 0.20 , 4.83 , 13.67 , 5.24 , 4.09 
2012Q2, 12.14 , 0.23 , 4.85 , 13.72 , 5.29 , 4.14 
2012Q3, 12.15 , 0.17 , 4.73 , 13.76 , 5.31 , 4.12 
2012Q4, 12.17 , 0.13 , 4.73 , 13.79 , 5.31 , 4.15 
2013Q1, 12.16 , 0.26 , 4.70 , 13.80 , 5.30 , 4.17 
2013Q2, 12.18 , 0.49 , 4.68 , 13.83 , 5.34 , 4.19 
2013Q3, 12.20 , 0.33 , 4.52 , 13.84 , 5.40 , 4.23 
2013Q4, 12.21 , 0.12 , 4.55 , 13.85 , 5.37 , 4.19 
