"","Date","Open","High","Low","Close","Volume"
"1","1/2/12 6:00",1.55051,1.55411,1.54845,1.5517,4803
"2","1/2/12 10:00",1.5517,1.5523,1.54746,1.54797,2263
"3","1/2/12 14:00",1.54797,1.55147,1.54668,1.55036,2375
"4","1/2/12 18:00",1.55036,1.55155,1.5481,1.55095,1767
"5","1/2/12 22:00",1.55095,1.55342,1.54967,1.55272,4271
"6","1/3/12 2:00",1.55272,1.55547,1.552,1.55457,4383
"7","1/3/12 6:00",1.55457,1.5601,1.55427,1.55754,15191
"8","1/3/12 10:00",1.55754,1.56239,1.55743,1.55797,22655
"9","1/3/12 14:00",1.55797,1.56686,1.55683,1.56467,23244
"10","1/3/12 18:00",1.56467,1.56679,1.56412,1.56455,10215
"11","1/3/12 22:00",1.56455,1.56548,1.56324,1.56422,5435
"12","1/4/12 2:00",1.56422,1.56432,1.56266,1.56358,5713
"13","1/4/12 6:00",1.56358,1.56679,1.56146,1.56512,18219
"14","1/4/12 10:00",1.56512,1.56652,1.5578,1.55997,24102
"15","1/4/12 14:00",1.55997,1.56457,1.55907,1.56289,24866
"16","1/4/12 18:00",1.56289,1.56305,1.56067,1.56145,7640
"17","1/4/12 22:00",1.56145,1.56194,1.5602,1.5602,5290
"18","1/5/12 2:00",1.5602,1.56157,1.55934,1.55974,5526
"19","1/5/12 6:00",1.55974,1.56284,1.55516,1.55646,25197
"20","1/5/12 10:00",1.55646,1.55713,1.54916,1.54947,26907
"21","1/5/12 14:00",1.54947,1.55049,1.5466,1.54929,27736
"22","1/5/12 18:00",1.54929,1.55015,1.54794,1.54925,9951
"23","1/5/12 22:00",1.54925,1.55037,1.54874,1.54998,8391
"24","1/6/12 2:00",1.54998,1.55067,1.54749,1.54796,10577
"25","1/6/12 6:00",1.54796,1.55176,1.54796,1.54966,17937
"26","1/6/12 10:00",1.54966,1.55247,1.54228,1.54315,24614
"27","1/6/12 14:00",1.54315,1.54559,1.53747,1.54183,24169
"28","1/6/12 18:00",1.54183,1.54332,1.54159,1.54239,9841
"29","1/8/12 22:00",1.54239,1.54259,1.53947,1.54061,11457
"30","1/9/12 2:00",1.54061,1.54291,1.54019,1.54217,9735
"31","1/9/12 6:00",1.54217,1.54573,1.54199,1.54398,19424
"32","1/9/12 10:00",1.54398,1.54676,1.54298,1.54661,21833
"33","1/9/12 14:00",1.54661,1.54687,1.54188,1.54242,20235
"34","1/9/12 18:00",1.54242,1.54671,1.5421,1.54599,9551
"35","1/9/12 22:00",1.54599,1.54672,1.54455,1.5463,8462
"36","1/10/12 2:00",1.5463,1.54838,1.54594,1.54769,13798
"37","1/10/12 6:00",1.54769,1.54998,1.54452,1.54819,19588
